wkt_geom,id,building_id,level,age,access_point,time,comment,function,population
LINESTRING(30.314495 59.969415;30.314779 59.969415;30.314782 59.969367;30.314732 59.969362;30.314730 59.969297;30.314774 59.969242;30.314888 59.969198;30.315015 59.969158;30.314937 59.968997;30.314804 59.969010;30.314833 59.969079;30.314704 59.969113;30.314626 59.969145;30.314544 59.969186;30.314509 59.969256;30.314495 59.969415;30.314495 59.969415),89,10,1,3,28,1,bc karpovka,office,2
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314729 59.969413;30.314779 59.969415;30.314782 59.969367;30.314732 59.969362;30.314730 59.969297;30.314774 59.969242;30.314888 59.969198;30.315015 59.969158;30.314937 59.968997;30.314804 59.969010;30.314833 59.969079;30.314704 59.969113;30.314626 59.969145;30.314544 59.969186;30.314509 59.969256;30.314495 59.969415;30.314471 59.969575;30.314461 59.969920;30.314461 59.969920),92,10,4,3,28,1,bc karpovka,office,2
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314729 59.969413;30.314779 59.969415;30.314782 59.969367;30.314732 59.969362;30.314730 59.969297;30.314774 59.969242;30.314888 59.969198;30.315015 59.969158;30.314937 59.968997;30.314804 59.969010;30.314833 59.969079;30.314704 59.969113;30.314626 59.969145;30.314544 59.969186;30.314509 59.969256;30.314495 59.969415;30.314471 59.969575;30.314461 59.969920;30.314461 59.969920),90,10,2,3,28,1,bc karpovka,office,2
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314729 59.969413;30.314779 59.969415;30.314782 59.969367;30.314732 59.969362;30.314730 59.969297;30.314774 59.969242;30.314888 59.969198;30.315015 59.969158;30.314937 59.968997;30.314804 59.969010;30.314833 59.969079;30.314704 59.969113;30.314626 59.969145;30.314544 59.969186;30.314509 59.969256;30.314495 59.969415;30.314471 59.969575;30.314461 59.969920;30.314461 59.969920),91,10,3,3,28,1,bc karpovka,office,2
LINESTRING(30.315399 59.968632;30.315948 59.968562;30.315964 59.968622;30.315428 59.968689;30.315399 59.968632;30.315399 59.968632),98,6,2,0,29,n/a,n/a,empty,0
LINESTRING(30.315399 59.968632;30.315948 59.968562;30.315964 59.968622;30.315428 59.968689;30.315399 59.968632;30.315399 59.968632),97,6,1,0,29,n/a,n/a,empty,0
LINESTRING(30.315087 59.968671;30.315241 59.968979;30.315545 59.968941;30.315508 59.968867;30.315602 59.968855;30.315547 59.968746;30.315462 59.968757;30.315399 59.968632;30.315087 59.968671;30.315087 59.968671),96,8,4,0,29,n/a,n/a,empty,0
LINESTRING(30.315087 59.968671;30.315241 59.968979;30.315545 59.968941;30.315508 59.968867;30.315602 59.968855;30.315547 59.968746;30.315462 59.968757;30.315399 59.968632;30.315087 59.968671;30.315087 59.968671),93,8,1,0,29,n/a,n/a,empty,0
LINESTRING(30.315087 59.968671;30.315241 59.968979;30.315545 59.968941;30.315508 59.968867;30.315602 59.968855;30.315547 59.968746;30.315462 59.968757;30.315399 59.968632;30.315087 59.968671;30.315087 59.968671),94,8,2,0,29,n/a,n/a,empty,0
LINESTRING(30.315087 59.968671;30.315241 59.968979;30.315545 59.968941;30.315508 59.968867;30.315602 59.968855;30.315547 59.968746;30.315462 59.968757;30.315399 59.968632;30.315087 59.968671;30.315087 59.968671),95,8,3,0,29,n/a,n/a,empty,0
