access_point1,access_point2,dist
16,22,119947.03
16,10,57235.316
16,11,51869.387
16,12,1065.2557
16,13,8117.7803
16,32,46285.05
16,33,33656.77
16,14,7882.087
16,15,5425.9165
16,7,24834.332
16,8,20243.201
16,9,20158.205
16,17,1126.5052
16,18,3272.269
16,19,959.0886
16,20,4779.5493
16,21,846.3109
16,34,3754.0327
16,35,80145.81
16,36,101318.85
16,37,28767.725
16,38,117208.45
16,39,53251.043
16,41,1478.3849
17,1,28290.506
17,2,34767.42
17,3,39299.797
17,4,49304.543
17,5,69663.68
17,6,69188.51
17,31,56185.242
17,30,63604.86
17,29,78341.72
17,24,84354.65
17,23,14588.127
17,25,7208.4043
17,27,5130.264
17,28,87767.8
17,26,1486.3092
17,22,98430.99
17,10,62866.43
17,11,53115.848
17,12,3250.4246
17,13,11454.628
17,32,45313.746
17,33,30481.951
17,14,10055.11
17,15,7595.407
17,7,20708.316
17,8,12877.996
17,9,11874.32
17,16,1139.0342
17,18,1653.2389
17,19,2541.4932
17,20,2056.5996
17,21,2494.0232
17,34,5859.5806
17,35,67580.77
17,36,84354.65
17,37,19145.37
17,38,96302.97
17,39,55544.06
17,41,3720.3835
18,1,30519.121
18,2,37065.34
18,3,41553.1
18,4,51276.5
18,5,70605.516
18,6,70145.11
18,31,57827.633
18,30,64773.066
18,29,78178.53
18,24,83409.65
18,23,15310.688
18,25,4133.393
18,27,2496.7266
18,28,86161.76
18,26,317.02164
18,22,94134.3
18,10,72799.72
18,11,61098.633
18,12,6918.675
18,13,14468.244
18,32,51628.324
18,33,34461.793
18,14,12239.69
18,15,9244.312
18,7,22642.842
18,8,13961.397
18,9,12752.278
18,16,3671.1936
18,17,1294.2076
18,19,1027.7731
18,20,274.14294
18,21,2264.834
18,34,7118.099
18,35,68447.7
18,36,83409.65
18,37,19863.607
18,38,92587.43
18,39,64142.684
18,41,7674.2563
19,1,38728.74
19,2,46301.957
19,3,51552.96
19,4,63078.152
19,5,86542.266
19,6,85998.73
19,31,70927.77
19,30,79457.25
19,29,95913.53
19,24,102931.01
19,23,22566.889
19,25,8953.217
19,27,6430.589
19,28,106592.79
19,26,2420.5833
19,22,117614.24
19,10,71558.664
19,11,64173.758
19,12,3187.5376
19,13,12964.847
19,32,56437.29
19,33,40892.707
19,14,11806.775
19,15,8799.577
19,7,29763.496
19,8,20291.633
19,9,19149.062
19,16,838.77057
19,17,1783.7297
19,18,1030.8451
19,20,2033.2717
19,21,266.62073
19,34,6801.291
19,35,83771.24
19,36,102931.01
19,37,27997.42
19,38,115661.016
19,39,66379.05
19,41,3841.0425
20,1,33114.695
20,2,39771.0
20,3,44260.57
20,4,53843.082
20,5,72544.66
20,6,72092.695
20,31,60185.637
20,30,66825.17
20,29,79266.99
20,24,83968.836
20,23,16691.197
20,25,2980.0442
20,27,1630.5286
20,28,86201.516
20,26,158.39192
20,22,92145.984
20,10,81666.64
20,11,68126.44
20,12,9048.908
20,13,17372.977
20,32,57335.12
20,33,38349.53
20,14,14562.302
20,15,11133.012
