access_point1,access_point2,dist
16,35,47500.086
16,36,28740.293
16,37,28767.725
16,38,10487.505
16,39,1709.6683
16,41,1478.3849
17,1,28290.506
17,2,34767.42
17,3,39299.797
17,4,49304.543
17,5,54574.066
17,6,54098.895
17,31,46321.133
17,30,48086.83
17,29,23752.348
17,24,19732.074
17,23,14588.127
17,25,7208.4043
17,27,5130.264
17,28,14624.235
17,26,1486.3092
17,22,7292.8423
17,10,12055.592
17,11,5707.295
17,12,3250.4246
17,13,11454.628
17,32,13556.61
17,33,19716.81
17,14,10055.11
17,15,7595.407
17,7,20708.316
17,8,12877.996
17,9,11874.32
17,16,1139.0342
17,18,1653.2389
17,19,2541.4932
17,20,2056.5996
17,21,2494.0232
17,34,5859.5806
17,35,34852.11
17,36,19732.074
17,37,19145.37
17,38,6148.107
17,39,5168.6074
17,41,3720.3835
18,1,30519.121
18,2,37065.34
18,3,41553.1
18,4,44108.273
18,5,45476.6
18,6,45016.17
18,31,37646.832
18,30,39235.92
18,29,16957.334
18,24,13408.719
18,23,15310.688
18,25,4133.393
18,27,2496.7266
18,28,9162.1045
18,26,317.02164
18,22,3587.129
18,10,14279.081
18,11,10007.247
18,12,6918.675
18,13,14468.244
18,32,19532.773
18,33,23575.506
18,14,12239.69
18,15,9244.312
18,7,22642.842
18,8,13961.397
18,9,12752.278
18,16,3671.1936
18,17,1294.2076
18,19,1027.7731
18,20,274.14294
18,21,2264.834
18,34,7118.099
18,35,26940.244
18,36,13408.719
18,37,19863.607
18,38,2745.882
18,39,9343.156
18,41,7674.2563
19,1,38728.74
19,2,46301.957
19,3,51552.96
19,4,58614.094
19,5,60559.203
19,6,60015.645
19,31,50858.887
19,30,52979.58
19,29,25556.045
19,24,20936.393
19,23,22566.889
19,25,8953.217
19,27,6430.589
19,28,15026.799
19,26,2420.5833
19,22,7004.0405
19,10,8038.0864
19,11,5211.5566
19,12,3187.5376
19,13,12964.847
19,32,13029.703
19,33,23026.018
19,14,11806.775
19,15,8799.577
19,7,29763.496
19,8,20291.633
19,9,19149.062
19,16,838.77057
19,17,1783.7297
19,18,1030.8451
19,20,2033.2717
19,21,266.62073
19,34,6801.291
19,35,37930.65
19,36,20936.393
19,37,27997.42
19,38,5992.9272
19,39,4638.2173
19,41,3841.0425
20,1,33114.695
20,2,39771.0
20,3,44260.57
20,4,38695.016
20,5,40027.984
20,6,39576.016
20,31,32433.0
20,30,33912.223
20,29,13090.1
20,24,9870.508
20,23,16691.197
20,25,2980.0442
20,27,1630.5286
20,28,6232.784
20,26,158.39192
20,22,2043.029
20,10,13409.955
20,11,13097.109
20,12,9048.908
20,13,17372.977
20,32,23947.588
20,33,27231.13
20,14,14562.302
20,15,11133.012
20,7,24939.766
20,8,15526.463
20,9,14175.594
20,16,5435.81
20,17,2185.0103
20,18,231.7443
20,19,2008.7867
20,21,3562.915
20,34,8675.873
20,35,22253.473
20,36,9870.508
20,37,21293.879
20,38,1404.1702
20,39,12338.629
20,41,9610.8545
21,1,43335.426
21,2,51579.816
21,3,57286.117
21,4,64458.43
21,5,66721.13
21,6,66132.22
21,31,56032.547
21,30,58413.63
21,29,28599.877
21,24,23494.492
21,23,30979.992
21,25,11908.791
21,27,8988.136
21,28,16857.402
21,26,4164.009
21,22,6911.35
21,10,5478.143
21,11,5312.792
21,12,3701.574
21,13,14512.812
21,32,13093.355
21,33,25560.75
21,14,13515.997
21,15,10186.665
21,7,33553.6
21,8,27863.129
21,9,27740.152
21,16,917.4191
21,17,2545.909
21,18,2265.1494
21,19,294.05243
21,20,3619.596
21,34,7918.8584
21,35,42032.76
21,36,23494.492
21,37,36961.38
21,38,6769.8745
21,39,4725.979
21,41,4497.3994
34,1,14789.558
34,2,20046.418
34,3,23999.35
34,4,33254.39
34,5,53359.54
34,6,52916.355
34,31,40026.348
34,30,47634.586
34,29,28550.727
34,24,22555.793
34,23,10278.03
34,25,16680.627
34,27,13674.365
34,28,30134.498
34,26,7067.4053
34,22,18880.828
34,10,15975.71
34,11,6096.464
34,12,1140.9047
34,13,2978.7795
34,32,12343.374
34,33,5361.1577
34,14,846.66003
34,15,238.57901
34,7,9255.74
34,8,7661.425
34,9,7665.9917
34,16,3940.3213
34,17,6905.713
34,18,8085.984
34,19,8582.9795
34,20,8752.189
34,21,8215.355
34,35,40663.324
34,36,22555.793
34,37,14075.54
34,38,16760.191
34,39,5741.19
34,41,782.27893
35,1,15645.642
35,2,10821.727
35,3,8112.7417
35,4,3527.4873
35,5,4589.249
35,6,4413.767
35,31,1489.9321
35,30,1848.3037
35,29,1342.1536
35,24,4215.1797
35,23,11035.694
35,25,31769.748
35,27,29336.799
35,28,6491.184
35,26,29591.78
35,22,22573.734
35,10,60811.176
35,11,70771.586
35,12,45741.953
35,13,56272.28
35,32,90998.13
35,33,54979.277
35,14,38307.613
35,15,34251.332
35,7,22998.227
35,8,18845.355
35,9,16902.482
35,16,52591.37
35,17,40526.77
35,18,31555.768
35,19,41099.14
35,20,27566.28
35,21,46160.254
35,34,35651.17
35,36,4215.1797
35,37,15131.132
35,38,18130.846
35,39,69417.92
35,41,41872.996
36,1,27577.932
36,2,22693.207
36,3,19570.828
36,4,13478.948
36,5,13783.457
36,6,13504.342
36,31,9932.655
36,30,10288.902
36,29,853.50543
36,23,3558.6003
36,25,12203.467
36,27,11579.73
36,28,895.58417
36,26,12191.155
36,22,9006.372
36,10,34894.234
36,11,40669.668
36,12,27321.191
36,13,35608.934
36,32,55951.88
36,33,37147.855
36,14,24096.893
36,15,20862.816
36,7,25462.234
36,8,9843.937
36,9,8241.857
36,16,26847.13
36,17,18306.092
36,18,13605.097
36,19,19331.24
36,20,11437.06
36,21,23313.021
36,34,20718.373
36,35,4598.9194
36,37,7964.0903
36,38,6415.7515
36,39,38451.438
36,41,24177.418
37,1,15653.634
37,2,17019.924
37,3,17757.225
37,4,24055.4
37,5,23934.092
37,6,23859.402
37,31,22046.326
37,30,22785.26
37,29,10533.627
37,24,6849.8125
37,23,1076.9825
37,25,28252.633
37,27,25443.707
37,28,12536.644
37,26,17384.912
37,22,31757.682
37,10,57033.26
37,11,36751.85
37,12,21476.973
37,13,28988.988
37,32,52950.04
37,33,26056.07
37,14,14673.894
37,15,12061.78
37,7,12884.215
37,8,2732.4233
37,9,2107.5408
37,16,30145.6
37,17,19101.768
37,18,19445.398
37,19,28596.02
37,20,19906.396
37,21,33849.17
37,34,13714.832
37,35,16997.023
37,36,6849.8125
37,38,26760.018
37,39,35645.992
37,41,19013.42
38,1,46336.61
38,2,52026.363
38,3,46895.848
38,4,36186.094
38,5,37942.117
38,6,37447.953
38,31,29421.764
38,30,31077.984
38,29,9933.07
38,24,6643.204
38,23,18213.73
38,25,4332.4556
38,27,2764.418
38,28,2978.7468
38,26,2347.0596
38,22,264.0
38,10,12538.17
38,11,21537.3
38,12,17636.367
38,13,28046.654
38,32,35070.684
38,33,40491.418
38,14,24407.44
38,15,19833.389
38,7,36568.184
38,8,29189.912
38,9,26647.217
38,16,11240.415
38,17,7092.0024
38,18,2673.0884
38,19,6205.7305
38,20,1405.5934
38,21,7342.6714
38,34,16442.91
38,35,18868.857
38,36,6643.204
38,37,26454.723
38,39,20583.293
38,41,18103.537
39,1,38525.492
39,2,46929.746
39,3,52920.58
39,4,66440.25
39,5,95085.984
39,6,94448.8
39,31,75910.33
39,30,86543.84
39,29,56069.59
39,24,48013.24
39,23,29572.646
39,25,24173.113
39,27,20195.834
39,28,34703.055
39,26,11814.9795
39,22,21816.322
39,10,3460.2146
39,11,312.0
39,12,1966.2697
39,13,9239.124
39,32,3612.0
39,33,12884.117
39,14,9960.077
39,15,7392.747
39,7,28937.963
39,8,25541.521
39,9,25506.61
39,16,1680.6747
39,17,5128.0806
39,18,9027.301
39,19,4554.442
39,20,11428.631
39,21,4123.6504
39,34,5493.8184
39,35,71942.59
39,36,48013.24
39,37,35840.266
39,38,19662.996
39,41,2689.2563
41,1,23075.322
41,2,29376.81
41,3,33934.273
41,4,44289.152
41,5,66125.63
41,6,65632.586
